Dataset,Horizon,Model,Params,MSE,MAE,Runs
ETTh2,96,PFB-Direct,2224480,0.30066996812820435,0.3525245289007823,3
ETTh2,96,PFB-Projected,1939808,0.2971629599730174,0.3497014343738556,3
ETTh2,96,PatchTST_base,1113312,0.3179447054862976,0.36581869920094806,3
ETTh2,96,PatchTST_capacity,2205120,0.31554871797561646,0.36769232153892517,3
ETTh2,96,PatchTST_depth,2699488,0.3107578754425049,0.36599646011988324,3
ETTh2,192,PFB-Direct,3256768,0.3709461788336436,0.39858264724413556,3
ETTh2,192,PFB-Projected,2456000,0.3701488673686981,0.3967219491799672,3
ETTh2,192,PatchTST_base,1629504,0.38479581475257874,0.4079211354255676,3
ETTh2,192,PatchTST_capacity,3283456,0.3882840673128764,0.4141700863838196,3
ETTh2,192,PatchTST_depth,3215680,0.38331348697344464,0.4128585358460744,3
ETTh2,336,PFB-Direct,4805200,0.3868050475915273,0.41708603501319885,3
ETTh2,336,PFB-Projected,3230288,0.3944657544294993,0.41959575812021893,3
ETTh2,336,PatchTST_base,2403792,0.4074916144212087,0.4286423325538635,3
ETTh2,336,PatchTST_capacity,4808112,0.4238045612970988,0.44333242376645404,3
ETTh2,336,PatchTST_depth,3989968,0.402695635954539,0.430329571167628,3
ETTm2,96,PFB-Direct,2224480,0.17074396212895712,0.25715939203898114,3
ETTm2,96,PFB-Projected,1939808,0.17172852158546448,0.25762153665224713,3
ETTm2,96,PatchTST_base,1113312,0.17695044974486032,0.26713183522224426,3
ETTm2,96,PatchTST_capacity,2205120,0.1811237633228302,0.2700832386811574,3
ETTm2,96,PatchTST_depth,2699488,0.17619488139947256,0.26804469029108685,3
ETTm2,192,PFB-Direct,3256768,0.2286535451809565,0.2973606586456299,3
ETTm2,192,PFB-Projected,2456000,0.23179985582828522,0.297745019197464,3
ETTm2,192,PatchTST_base,1629504,0.23477010428905487,0.3069333831469218,3
ETTm2,192,PatchTST_capacity,3283456,0.23736915985743204,0.311511089404424,3
ETTm2,192,PatchTST_depth,3215680,0.24133230249087015,0.30892737706502277,3
ETTm2,336,PFB-Direct,4805200,0.282096008459727,0.3345058659712474,3
ETTm2,336,PFB-Projected,3230288,0.2979440589745839,0.3453611532847087,3
ETTm2,336,PatchTST_base,2403792,0.29496116439501446,0.3446999490261078,3
ETTm2,336,PatchTST_capacity,4808112,0.28976847728093463,0.34454306960105896,3
ETTm2,336,PatchTST_depth,3989968,0.2976021369298299,0.348638395468394,3
Exchange,192,PFB-Direct,3256768,0.22223698099454245,0.33774258693059284,3
Exchange,192,PFB-Projected,2456000,0.19578875104586282,0.31782419482866925,3
Exchange,192,PatchTST_base,1629504,0.1903869460026423,0.31639037529627484,3
Exchange,192,PatchTST_capacity,3283456,0.21822485327720642,0.3400258421897888,3
Illness,24,PFB-Direct,1272088,2.0605815251668296,0.9188131292661031,3
Illness,24,PFB-Projected,1463576,2.199843486150106,0.9817664424578348,3
Illness,24,PatchTST_base,637080,2.075850168863932,0.9474466840426127,3
Illness,24,PatchTST_capacity,1231896,1.8992176055908203,0.8622092803319296,3
Illness,24,PatchTST_depth,1231896,1.8992176055908203,0.8622092803319296,3
Illness,48,PFB-Direct,1351984,1.9111010233561199,0.8977454503377279,3
Illness,48,PFB-Projected,1503536,2.057701667149862,0.9404029250144958,3
Illness,48,PatchTST_base,677040,2.0784149169921875,0.9661733110745748,3
Illness,48,PatchTST_capacity,1400400,1.8916056156158447,0.8862458070119222,3
Illness,48,PatchTST_depth,1271856,2.0111750761667886,0.928068220615387,3
Illness,60,PFB-Direct,1391932,2.0358272790908813,0.9589325586954752,3
Illness,60,PFB-Projected,1523516,2.071877876917521,0.9522191087404887,3
Illness,60,PatchTST_base,697020,2.000195542971293,0.9283037583033243,3
Illness,60,PatchTST_capacity,1421628,2.0971964995066323,0.9648095766703287,3
Illness,60,PatchTST_depth,1490108,1.9459688266118367,0.9133574565251669,3
Weather,96,PFB-Direct,2224480,0.14915474752585092,0.19808212419350943,3
Weather,96,PFB-Projected,1939808,0.14958042899767557,0.19850860039393106,3
Weather,96,PatchTST_base,1113312,0.1514981041351954,0.2010212242603302,3
Weather,96,PatchTST_capacity,2205120,0.15460257728894553,0.2029122163852056,3
Weather,96,PatchTST_depth,2699488,0.1510582168896993,0.19944259027640024,3
Weather,192,PFB-Direct,3256768,0.19565431773662567,0.24212226271629333,3
Weather,192,PFB-Projected,2456000,0.19463960826396942,0.2411277045806249,3
Weather,192,PatchTST_base,1629504,0.19773247838020325,0.24367316563924155,3
Weather,192,PatchTST_capacity,3283456,0.20263638099034628,0.24947073062260947,3
Weather,192,PatchTST_depth,3215680,0.19687805076440176,0.2444100777308146,3
Weather,336,PFB-Direct,4805200,0.2492067019144694,0.2833220064640045,3
Weather,336,PFB-Projected,3230288,0.2481471449136734,0.2831988235314687,3
Weather,336,PatchTST_base,2403792,0.2539002448320389,0.2851676046848297,3
Weather,336,PatchTST_capacity,4808112,0.2564874490102132,0.2893665333588918,3
Weather,336,PatchTST_depth,3989968,0.24912161628405252,0.2861392895380656,3
